comprehensive budget management,全面预算管理,ˌkɒmprɪˈhensɪv ˈbʌdʒɪt ˈmænɪdʒmənt
annual budget,年度预算,ˈænjuəl ˈbʌdʒɪt
budget preparation,预算编制,ˈbʌdʒɪt ˌprepəˈreɪʃn
budget variance analysis,预算偏差分析,ˈbʌdʒɪt ˈveəriəns əˈnæləsɪs
budget vs actual analysis,预实分析,ˈbʌdʒɪt vɜːrsəs ˈæktʃuəl əˈnæləsɪs
rolling forecast,滚动预测,ˈroʊlɪŋ ˈfɔːrkæst
financial forecast,财务预测,faɪˈnænʃəl ˈfɔːrkæst
strategic planning,战略规划,strəˈtiːdʒɪk ˈplænɪŋ
capital expenditure,资本支出,ˈkæpɪtl ɪkˈspendɪtʃər
operating expenditure,运营支出,ˈɒpəreɪtɪŋ ɪkˈspendɪtʃər
allocate budget,分配预算,ˈæləkeɪt ˈbʌdʒɪt
allocate funds,划拨资金,ˈæləkeɪt fʌndz
budget overrun,预算超支,ˈbʌdʒɪt ˌoʊvərˈrʌn
reallocate resources,重新分配资源,ˌriːˈæləkeɪt ˈriːsɔːrsɪz
cost accounting,成本核算,kɒst əˈkaʊntɪŋ
cost allocation,成本分摊,kɒst ˌæləˈkeɪʃn
cost control,成本控制,kɒst kənˈtroʊl
cost reduction and efficiency improvement,降本增效,kɒst rɪˈdʌkʃn ænd ɪˈfɪʃənsi ɪmˈpruːvmənt
batch cost accounting,批次成本核算,bætʃ kɒst əˈkaʊntɪŋ
process-level cost tracking,工序成本追踪,ˈprəʊses levl kɒst ˈtrækɪŋ
standard cost,标准成本,ˈstændərd kɒst
actual cost,实际成本,ˈæktʃuəl kɒst
cost variance,成本差异,kɒst ˈveəriəns
indirect cost,间接成本,ˌɪndɪˈrekt kɒst
fixed cost,固定成本,fɪkst kɒst
variable cost,变动成本,ˈveəriəbl kɒst
marginal cost,边际成本,ˈmɑːrdʒɪnəl kɒst
price comparison model,比价模型,praɪs ˌkɒmpəˈrɪsən ˈmɒdl
reduce procurement costs,节约采购成本,rɪˈdjuːs prəˈkjʊərmənt kɒsts
liquidate idle inventory,盘活存货,ˈlɪkwɪdeɪt ˈaɪdl ˈɪnvəntri
inventory aging analysis,库龄分析,ˈɪnvəntri ˈeɪdʒɪŋ əˈnæləsɪs
recover financial losses,挽回财产损失,rɪˈkʌvər faɪˈnænʃəl ˈlɒsɪz
cash management,资金管理,kæʃ ˈmænɪdʒmənt
cash flow,现金流,kæʃ floʊ
operating cash flow,经营性现金流,ˈɒpəreɪtɪŋ kæʃ floʊ
free cash flow,自由现金流,friː kæʃ floʊ
cash flow forecast,现金流预测,kæʃ floʊ ˈfɔːrkæst
debt financing,债权融资,det ˈfaɪnænsɪŋ
equity financing,股权融资,ˈekwɪti ˈfaɪnænsɪŋ
bank credit facility,银行授信额度,bæŋk ˈkredɪt fəˈsɪlɪti
expand credit line,拓展授信额度,ɪkˈspænd ˈkredɪt laɪn
loan interest rate,贷款利率,loʊn ˈɪntrəst reɪt
reduce financing costs,节约资金成本,rɪˈdjuːs ˈfaɪnænsɪŋ kɒsts
investment returns,投资收益,ɪnˈvestmənt rɪˈtɜːrnz
accounts receivable,应收账款,əˈkaʊnts rɪˈsiːvəbl
accounts payable,应付账款,əˈkaʊnts ˈpeɪəbl
working capital,流动资金,ˈwɜːrkɪŋ ˈkæpɪtl
debt-to-asset ratio,资产负债率,det tuː ˈæset ˈreɪʃioʊ
financial statements,财务报表,faɪˈnænʃəl ˈsteɪtmənts
profit and loss statement,损益表,ˈprɒfɪt ænd lɒs ˈsteɪtmənt
balance sheet,资产负债表,ˈbæləns ʃiːt
consolidated financial statements,合并报表,kənˈsɒlɪdeɪtɪd faɪˈnænʃəl ˈsteɪtmənts
revenue recognition,收入确认,ˈrevənjuː ˌrekəɡˈnɪʃn
gross margin,毛利率,ɡroʊs ˈmɑːrdʒɪn
net profit margin,净利润率,net ˈprɒfɪt ˈmɑːrdʒɪn
EBITDA,息税前利润,ˌiːbɪtˈdɑː
year-on-year growth,同比增长,jɪər ɒn jɪər ɡroʊθ
quarter-on-quarter growth,环比增长,ˈkwɔːrtər ɒn ˈkwɔːrtər ɡroʊθ
reconcile,核对/对账,ˈrekənsaɪl
bank reconciliation,银行对账,bæŋk ˌrekənsɪliˈeɪʃn
discrepancy between books and assets,账实不符,dɪˈskrepənsi
historical data reconstruction,历史数据重建,hɪˈstɒrɪkl ˈdeɪtə ˌriːkənˈstrʌkʃn
internal controls,内部控制,ɪnˈtɜːrnl kənˈtroʊlz
compliance management,合规管理,kəmˈplaɪəns ˈmænɪdʒmənt
external audit,外部审计,ɪkˈstɜːrnl ˈɔːdɪt
internal audit,内部审计,ɪnˈtɜːrnl ˈɔːdɪt
authorization and approval,授权审批,ˌɔːθəraɪˈzeɪʃn ænd əˈpruːvl
signing authority,签字权限,ˈsaɪnɪŋ ɔːˈθɒrɪti
segregation of duties,职责分离,ˌseɡrɪˈɡeɪʃn əv ˈdjuːtɪz
key control points,内控管控要点,kiː kənˈtroʊl pɔɪnts
risk identification,风险识别,rɪsk aɪˌdentɪfɪˈkeɪʃn
risk mitigation,风险缓解,rɪsk ˌmɪtɪˈɡeɪʃn
contingent liability,或有负债,kənˈtɪndʒənt laɪəˈbɪlɪti
IPO (Initial Public Offering),首次公开募股,ɪˈnɪʃl ˈpʌblɪk ˈɒfərɪŋ
go public,上市,ɡoʊ ˈpʌblɪk
IPO bottleneck,IPO卡点,aɪpiːoʊ ˈbɒtlnek
financial records reconstruction,混乱账目重建,faɪˈnænʃəl ˈrekɔːrdz ˌriːkənˈstrʌkʃn
response to regulatory inquiry,问询函答复,rɪˈspɒns tuː ˌreɡjʊˈleɪtəri ˈɪŋkwəri
listing requirements,上市条件,ˈlɪstɪŋ rɪˈkwaɪərments
due diligence,尽职调查,djuː ˈdɪlɪdʒəns
CSRC,中国证监会,China Securities Regulatory Commission
information disclosure,信息披露,ˌɪnfəˈmeɪʃn dɪsˈkloʊʒər
shareholders equity,股东权益,ˈʃeəhoʊldərz ˈekwɪti
ERP system,ERP系统,ˌentəpraɪz ˈriːsɔːrs ˈplænɪŋ
business-finance integration,业财一体化,ˈbɪznɪs ˈfaɪnæns ˌɪntɪˈɡreɪʃn
build from scratch,从零到一搭建,bɪld frɒm skrætʃ
data migration,数据导入,ˈdeɪtə maɪˈɡreɪʃn
digital transformation,数字化转型,ˈdɪdʒɪtl trænsˌfɔːrˈmeɪʃn
KPI (Key Performance Indicator),关键绩效指标,kiː pəˈfɔːrməns ˈɪndɪkeɪtər
ROI (Return on Investment),投资回报率,rɪˈtɜːrn ɒn ɪnˈvestmənt
financial analysis,财务分析,faɪˈnænʃəl əˈnæləsɪs
profitability analysis,盈利能力分析,ˌprɒfɪtəˈbɪlɪti əˈnæləsɪs
valuation,估值,ˌvæljuˈeɪʃn
discounted cash flow,现金流折现,dɪˈskaʊntɪd kæʃ floʊ
military product price audit,军工审价,ˈmɪlɪtri ˈprɒdʌkt praɪs ˈɔːdɪt
price quotation,报价,praɪs kwoʊˈteɪʃn
execute,执行,ˈeksɪkjuːt
implement,实施,ˈɪmplɪment
evaluate,评估,ɪˈvæljueɪt
optimize,优化,ˈɒptɪmaɪz
coordinate,协调,koʊˈɔːrdɪneɪt
let's get started,我们开始吧,lets ɡet ˈstɑːrtɪd
today's agenda covers,今天议程是,təˈdeɪz əˈdʒendə ˈkʌvərz
let me start with a brief overview,让我先做个简单介绍,let miː stɑːrt wɪð ə briːf ˈoʊvərvjuː
the data shows,数据显示,ðə ˈdeɪtə ʃoʊz
compared to last quarter,与上季度相比,kəmˈpeərd tuː lɑːst ˈkwɔːrtər
year-on-year increase of X%,同比增长X%,jɪər ɒn jɪər ˈɪŋkriːs
it's worth noting that,值得注意的是,ɪts wɜːrθ ˈnoʊtɪŋ ðæt
to put this in perspective,换个角度看,tuː pʊt ðɪs ɪn pəˈspektɪv
sorry to interrupt,打断一下,ˈsɒri tuː ˌɪntəˈrʌpt
could I just clarify,请允许我确认一下,kʊd aɪ dʒʌst ˈklærɪfaɪ
could I just add something,可以让我补充一点吗,kʊd aɪ dʒʌst æd ˈsʌmθɪŋ
if I could just stop you there,请稍等一下,ɪf aɪ kʊd dʒʌst stɒp juː ðeər
I didn't quite catch that,我没听清楚,aɪ ˈdɪdnt kwaɪt kætʃ ðæt
could you repeat that,你能重复一下吗,kʊd juː rɪˈpiːt ðæt
could you elaborate on that,你能展开说说吗,kʊd juː ɪˈlæbəreɪt ɒn ðæt
just to confirm my understanding,我想确认一下我的理解,dʒʌst tuː kənˈfɜːrm maɪ ˌʌndəˈstændɪŋ
so what you're saying is,你的意思是说,soʊ wɒt jɔːr ˈseɪɪŋ ɪz
in other words,换句话说,ɪn ˈʌðər wɜːrdz
I agree,我同意,aɪ əˈɡriː
that's exactly right,正是如此,ðæts ɪɡˈzæktli raɪt
that's a good point,说得对,ðæts ə ɡʊd pɔɪnt
I'm in favor of this proposal,我支持这个提案,aɪm ɪn ˈfeɪvər
I see it differently,我有不同看法,aɪ siː ɪt ˈdɪfrəntli
I understand your point however,我理解你的观点，但是,aɪ ˌʌndəˈstænd jɔːr pɔɪnt haʊˈevər
I'm not entirely convinced,我不太确定这个方向,aɪm nɒt ɪnˈtaɪərli kənˈvɪnst
have we considered an alternative,我们是否考虑过另一个方案,həv wiː kənˈsɪdərd ən ɔːlˈtɜːrnətɪv
that's a good question let me think,这是个好问题，让我想一下,ðæts ə ɡʊd ˈkwestʃən let miː θɪŋk
let me double-check the figures,我需要确认一下数据,let miː ˈdʌbl tʃek ðə ˈfɪɡərz
let me get back to you on that,我回去查一下再回复你,let miː ɡet bæk tuː juː ɒn ðæt
to summarize,总结一下,tuː ˈsʌməraɪz
to wrap up,总结/结束,tuː ræp ʌp
moving forward,今后/接下来,ˈmuːvɪŋ ˈfɔːrwərd
action items,行动事项,ˈækʃn ˈaɪtəmz
let's circle back to this,稍后再回到这个话题,lets ˈsɜːrkl bæk tuː ðɪs
let's take this offline,私下讨论,lets teɪk ðɪs ˈɒflaɪn
let's park that for now,暂时搁置,lets pɑːrk ðæt fɔːr naʊ
we're running over time,我们超时了,wɪər ˈrʌnɪŋ ˈoʊvər taɪm
follow up,跟进,ˈfɒloʊ ʌp
following up on our last discussion,跟进上次讨论,ˈfɒloʊɪŋ ʌp ɒn aʊər lɑːst dɪˈskʌʃn
the deadline is approaching,截止日期快到了,ðə ˈdedlaɪn ɪz əˈproʊtʃɪŋ
our position is,我们的立场是,aʊər pəˈzɪʃn ɪz
this is our bottom line,这是我们的底线,ðɪs ɪz aʊər ˈbɒtəm laɪn
we have some flexibility on that,我们可以灵活处理,wiː hæv sʌm ˌfleksɪˈbɪlɪti
that's beyond my authority,这超出了我的授权范围,ðæts bɪˈɒnd maɪ ɔːˈθɒrɪti
let's find a mutually beneficial solution,让我们找到双赢方案,lets faɪnd ə ˈmjuːtʃuəli ˌbenɪˈfɪʃl səˈluːʃn
I'll need to check with my team,我需要请示一下,aɪl niːd tuː tʃek wɪð maɪ tiːm
report to the chairman,向董事长汇报,rɪˈpɔːrt tuː ðə ˈtʃeərmən
demonstrate our value,展示我们的价值,ˈdemənstreɪt aʊər ˈvæljuː
this initiative has resulted in,这项举措带来了,ðɪs ɪˈnɪʃətɪv həz rɪˈzʌltɪd ɪn
we need your approval on,我们需要您的批准,wiː niːd jɔːr əˈpruːvl ɒn
please find attached,请查收附件,pliːz faɪnd əˈtætʃt
please don't hesitate to reach out,如有问题请联系我,pliːz doʊnt ˈhezɪteɪt tuː riːtʃ aʊt
I look forward to hearing from you,期待您的回复,aɪ lʊk ˈfɔːrwərd tuː ˈhɪərɪŋ frɒm juː
please correct me if I'm wrong,如我理解有误请指正,pliːz kəˈrekt miː ɪf aɪm rɒŋ
not only but also,不仅……而且,nɒt ˈoʊnli bʌt ˈɔːlsoʊ
nevertheless,尽管如此,ˌnevərðəˈles
based on this,基于此,beɪst ɒn ðɪs
in the long run,从长远来看,ɪn ðə lɒŋ rʌn
from our perspective,就我们而言,frɒm aʊər pəˈspektɪv
